SELFIES,true_LC50[-LOG(mol_L)],guessed_LC50[-LOG(mol_L)]
[C][O][C][=C][Branch1][Ring1][O][C][C][=C][C][Branch2][Ring2][#Branch1][C][Branch1][=Branch1][C][Branch1][C][C][C][Branch1][Ring1][C][#N][C][C][C][N][Branch2][Ring1][Ring1][C][C][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][#Branch2][C][=C][Ring2][Ring1][#C],6.08,6.08
[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][O],3.73,3.73
[C][=Branch1][N][=C][Branch1][Branch2][N][=N][C][=C][Ring1][=Branch1][N][O][Cl],2.88,2.88
[Cl][C][=Branch1][#Branch1][=C][Branch1][Ring1][C][=N][N][C][=Branch1][C][=O][N][Ring1][Branch1][C],3.13,3.13
[Cl][C][C][=Branch1][C][=O][N][Branch1][=Branch1][C][C][O][C][C][\C][=Branch1][=Branch1][=C][Branch1][C][\C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],4.89,4.89
[C][=Branch2][Ring1][=Branch1][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][Ring2][N][C][C][C][C][Ring1][Ring1][C][=C][Ring1][=N],4.19,4.19
[C][=Branch2][Ring1][=Branch2][=C][C][=C][N][Branch1][#Branch1][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][C][=Ring1][=Branch1][N][Branch1][C][C][C][C][=C][Ring1][=C],3.84,3.84
[C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][/C][=C][Branch1][S][/C][=Branch1][C][=O][N][C][C][O][C][C][N][Ring1][#Branch1][Ring1][O][C][=C][Branch1][Ring1][C][C][C][=C][Branch1][C][C][C][=C][Ring1][=Branch2][C][C],6.93,6.93
[C][C][=C][C][=C][C][=Branch2][Ring1][Branch2][=C][Ring1][=Branch1][N][Branch1][=Branch2][C][N][C][=C][C][=N][Ring1][Branch1][C][=Branch1][C][=O][C][=Branch1][C][=O][O][C],5.14,5.14
[C][C][Branch1][C][C][N][Branch1][#Branch1][C][=Branch1][C][=O][C][Cl][C][=C][C][=C][C][=C][Ring1][=Branch1],4.06,4.06
[O][=C][Branch2][Ring1][Ring2][C][O][C][=N][N][=C][Branch1][Ring2][S][Ring1][Branch1][C][Branch1][C][F][Branch1][C][F][F][N][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Branch1][C][C][C],6.19,6.19
[O][=C][Branch1][C][O][C][=C][C][=Branch1][N][=C][Branch1][C][O][C][Branch1][C][Br][=C][Ring1][Branch2][Br],4.69,4.69
[C][=Branch2][Ring1][Branch1][=C][C][=C][N][Branch1][#Branch1][N][Branch1][Ring1][C][C][C][C][=Branch1][C][=O][C][=Ring1][=Branch1][N][C][=C][Ring1][N],3.8,3.8
[N][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][O][C][Ring1][Ring1][C][=C][C][=C][C][=C][Ring1][S][Ring1][=Branch1],4.99,4.99
[C][=C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][\C][=C][/C][=Ring1][O][C][=C][Ring1][#C],4.79,4.79
[O][=C][C][Branch1][Ring2][\N][C][=O][=C][Branch1][C][\C][N][Branch1][C][C][N][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],4.14,4.14
[C][N][Branch1][C][C][C][C][Branch1][N][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][O],3.84,3.84
[C][C][=C][Branch2][Ring1][Branch1][N][Branch1][=C][C][Branch1][#Branch2][C][S][Branch1][C][O][=Branch1][C][=O][=O][=O][C][C][O][C][C][Branch1][C][C][=C][C][=C][Ring2][Ring1][Ring1],2.7,2.7
[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][N][Branch1][Branch1][C][C][O][C][C][=Branch1][C][=O][C][Branch1][C][O][=O],3.49,3.49
[C][N][Branch1][C][C][C][=Branch1][C][=N][N][C][Branch1][C][N][=N],3.7,3.7
[H][C@][Branch1][C][N][Branch2][Ring2][C][C][S][C][C][C][C][\C][=C][Branch2][Ring1][C][/N][C][=Branch1][C][=O][C@@][Branch1][C][H][C][C][Ring1][Ring2][Branch1][C][C][C][C][Branch1][C][O][=O][C][Branch1][C][O][=O],3.47,3.47
[N][C][C][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][C][C][C][C][Ring1][#Branch2],2.83,2.83
[C][C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][N][N][C][C][C][C][Ring1][Branch1][=O],2.51,2.51
[F][C][=C][N][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=O],2.1,2.1
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C@@][Branch1][C][O][C][C][C][C][C@@H1][Ring1][#Branch1][C][N][Branch1][C][C][C],3.58,3.58
[Cl][C][C][N][Branch1][Ring2][C][C][Cl][P][=Branch1][C][=O][N][C][C][C][O][Ring1][#Branch1],3.11,3.11
[C][C][C][C][C][=Branch1][C][=O][N][Branch2][Ring1][=N][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=N][N][=N][N][Ring1][Branch1][C@@H1][Branch1][=Branch1][C][Branch1][C][C][C][C][Branch1][C][O][=O],6.4,6.4
[N][C][=N][C][=Branch1][C][=O][N][Branch1][Branch1][C][=C][Ring1][#Branch1][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C][Ring1][Branch2][Branch1][C][F][F],3.23,3.23
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][O][N][C][N][S][Ring1][=Branch1][=Branch1][C][=O][=O][C][=C][Ring1][N][Cl],3.26,3.26
[O][=C][N][C][=Branch1][C][=O][N][Branch1][Branch1][\C][=C][/\Ring1][#Branch1][C@@H1][O][C@@H1][Branch1][N][C@@H1][Branch1][C][O][C][Ring1][=Branch1][Branch1][C][F][F][C][O],3.26,3.26
[O][C][Branch2][Ring1][C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][N][C][C][C][C][C][C][Ring1][P],3.87,3.87
[O][C][Branch2][Ring1][C][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][N][C][C][C][C][C][Ring1][P],3.48,3.48
[C][=C][Branch2][Ring2][O][C][=C][Branch2][Ring2][Branch1][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][N][C][=Branch2][Ring1][Branch2][=C][Branch1][=Branch2][C][=Branch1][Ring2][=N][Ring1][Branch1][C][#N][S][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][N][Cl][C][Branch1][C][F][Branch1][C][F][F],6.76,6.76
[N][C][=C][Branch2][Ring1][P][C][=Branch2][Ring1][O][=N][N][Ring1][Branch1][C][=C][Branch1][C][Cl][C][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][Cl][C][Branch1][C][F][Branch1][C][F][F][C][#N][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],7.37,7.37
[F][C][Branch1][C][F][Branch1][C][F][C][=C][C][Branch1][C][Cl][=C][Branch2][Ring1][Branch2][N][N][=C][Branch1][Ring1][C][#N][C][Branch1][#Branch2][S][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][N][N][C][Branch1][C][Cl][=C][Ring2][Ring1][Branch1],7.44,7.44
[C][=C][Branch2][Ring2][#Branch1][C][=C][Branch2][Ring1][P][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][N][C][=Branch2][Ring1][Ring2][=C][Branch1][=Branch2][C][=Branch1][Ring2][=N][Ring1][Branch1][C][#N][C][Branch1][C][F][Branch1][C][F][F][N][Cl][C][Branch1][C][F][Branch1][C][F][F],7.08,7.08
[C][=C][C][=Branch1][N][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][O][C][C][Branch1][Ring1][C][N][O],2.71,2.71
[Cl][C][=Branch1][Ring2][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][Ring2][C][=Branch1][Branch1][=N][N][=C][N][C][=Branch1][Ring2][=N][Ring1][Ring2][N],4.76,4.76
[Cl][C][C][N][Branch1][=N][P][Branch1][Ring1][O][C][=Branch1][C][=O][N][C][C][Cl][C][C][Ring1][Branch2],2.93,2.93
[Cl][C][Branch1][Branch2][N][C][=Branch1][C][=O][C][Cl][=C][Branch1][C][Cl][C][=Ring1][Branch1],3.94,3.94
[O][Branch2][Ring1][Ring1][C][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][Branch1][C][C][C][P][Branch1][Ring2][O][C][C][Branch1][Ring2][O][C][C][=O],4.17,4.17
[O][=C][/N][=C][Branch1][=Branch2][\N][\C][=Branch1][Ring2][=C][/\Ring1][=Branch1][C][C][Branch1][C][C][C],3.38,3.38
[C][=C][C][=C][C][=C][Ring1][=Branch1][N][Branch1][=C][C][=Branch1][C][=O][C][=Branch1][C][=O][N][Branch1][C][C][C][N][Branch1][C][C][C][=Branch1][C][=O][C],3.38,3.38
[N][=Branch2][Ring1][Ring2][=C][Branch1][S][C][Branch1][C][C][=C][O][C][=Branch1][C][=O][N][Branch1][C][C][C][C][C][=Branch1][Ring2][=N][Ring1][#Branch2][N][Branch1][C][C][C],3.48,3.48
[C][=Branch2][Ring1][Ring1][=C][C][=C][N][C][=Branch1][#Branch1][=N][C][=Branch1][C][=C][C][N][=C][Ring1][Ring2][C][C][=C][Ring1][N],4.2,4.2
[O][=C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],3.89,3.89
[O][=C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],4.83,4.83
[O][=C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],5.46,5.46
[O][=C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],5.86,5.86
[O][=C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],6.34,6.34
[O][=C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],6.49,6.49
[F][C][Branch1][C][F][Branch2][Branch1][Ring1][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C],6.44,6.44
[F][C][Branch1][C][F][Branch1][O][C][Branch1][C][/F][=C][\C][Branch1][C][O][=O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],6.11,6.11
[F][C][Branch1][C][F][Branch1][O][C][Branch1][C][/F][=C][/C][Branch1][C][O][=O][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F],6.81,6.81
[O][=C][Branch1][C][O][/C][=Branch1][Ring2][=C][\O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=C][C][Branch1][N][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N][=N][C][=N][Ring1][#C],4.92,4.92
[O-1][N+1][=Branch1][C][=O][\C][=C][Branch1][Ring1][/N][C][N][C][C][S][=Branch1][C][=O][C][C][O][C][=Branch1][Branch1][=C][C][=Ring1][Branch1][C][N][Branch1][C][C][C],3.69,3.69
[C][=C][Branch2][Ring2][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][Branch2][Ring1][Branch2][N][C][=N][C][=Branch1][S][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][O][C][=O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring2][Ring1][=N],5.11,5.11
[C][=Branch2][Ring1][Ring1][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][C][Branch1][C][C][C][N][C][Branch1][C][C][C],4.21,4.21
[C][Branch2][Ring1][O][C@@][Branch1][=N][C][Branch1][=Branch2][N][=C][Branch1][Ring2][N][Ring1][=Branch1][S][=O][Branch1][Branch2][C@@H1][Branch1][Ring2][C][C][C][C][C][C][=O],4.07,4.07
[S][Branch1][=C][N][C][Branch1][=Branch2][C][=C][Branch1][Ring2][O][Ring1][=Branch1][C][=O][=Branch1][C][=O][=O],2.11,2.11
[C][Branch1][O][C@H1][Branch1][#Branch1][C@@H1][Branch1][Ring1][N][C][C][O][=C][C][=C][C][=C][Ring1][N],3.45,3.45
[C][C][N][C][=N][C][=Branch1][=Branch2][=N][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][N][C][Branch1][C][C][Branch1][C][C][C][#N],3.87,3.87
[P][Branch1][=Branch2][S][C][C][Branch1][Ring1][N][C][=O][Branch1][Ring1][O][C][Branch1][Ring1][O][C][=S],4.5,4.5
[C][O][C][=Branch1][C][=O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][N],3.81,3.81
[C][C][N][Branch1][#C][C][C][N][Ring1][=Branch1][C][C][O][C][C][=Branch1][C][=O][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],3.4,3.4
[C][Branch2][Branch1][C][C][Branch2][Ring2][=N][N][Branch2][Ring1][=C][C][C][=C][C][=C][Branch2][Ring1][C][C][=C][Branch1][Branch2][C][NH1][N][=N][N][=Ring1][Branch1][C][=C][C][=C][Ring1][O][C][=C][Ring1][P][C][=Branch1][Branch1][=N][Ring2][Ring1][#Branch1][C][C][C][C][=O][C][C][C][C][Ring2][Ring1][S],5.53,5.53
[O][=C][Branch2][Ring1][C][N][C][=N][C][Branch1][Ring1][O][C][=C][C][Branch1][Ring1][O][C][=N][Ring1][#Branch2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch1][Ring2][N][C][=O][=C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][N][Branch1][C][C][C],3.87,3.87
[C][=Branch2][Ring2][=C][=C][C][=C][Branch2][Ring2][Ring1][N][C][=C][C][Branch2][Ring1][Branch2][O][C][C][=C][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][N][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=O][=N][Ring2][Ring1][Ring2][C][=C][Ring2][Ring1][#Branch2][Cl],5.38,5.38
[C][=Branch2][Ring1][=N][=C][C][Branch1][#C][C][=Branch1][C][=O][N][C][C][N][Branch1][Ring1][C][C][C][C][=C][Branch1][=Branch1][C][=C][Ring1][S][N][O][C][Cl],4.0,4.0
[N][Branch1][Branch2][C@@H1][Branch1][Ring1][C][C][C][O][C][C][N][C@@H1][Branch1][Ring1][C][C][C][O],1.88,1.88
[C][Branch2][Ring1][C][C][=Branch1][C][=O][C][Branch1][#Branch2][N][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][#C][Cl],4.65,4.65
[C][=Branch2][Ring2][S][=C][Branch2][Ring2][#Branch2][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][C][Branch2][Ring1][N][C@@][Branch2][Ring1][Ring2][C][S][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=Branch1][C][=O][=O][Branch1][C][C][O][=O][C][#N][C][Branch1][C][F][Branch1][C][F][F],4.07,4.07
[C][Branch1][Branch2][C][C][C][C][C][Ring1][=Branch1][N][S][Branch1][C][O][=Branch1][C][=O][=O],2.44,2.44
[C][N][C][C][C][C][Ring1][Branch1][C][Branch2][Ring1][Ring2][C][Branch1][Ring2][C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],5.09,5.09
[C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][N][C][C][N][C][C][Ring1][=Branch1],3.53,3.53
[C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Ring1][#Branch2][N][C][C][N][C][C][Ring1][=Branch1],3.69,3.69
[C][=Branch1][Branch2][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Branch1][C][N][C],3.74,3.74
[C][N][C][C][C][C][Ring1][Branch1][C][Branch2][Ring1][Ring2][C][Branch1][Ring2][C][Ring1][#Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],5.09,5.09
[C][/C][=C][\C][Branch1][#Branch2][C][C][Branch1][Branch1][N][/-Ring1][Branch1][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],6.31,6.31
[C][N][C][Branch1][=Branch2][C][C][C][C][C][Ring1][=Branch1][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],3.85,3.85
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][Branch1][C][C][N][C],3.77,3.77
[C][C][C][=Branch1][C][=O][C][Branch1][O][C][C][Branch1][C][C][N][Branch1][C][C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],5.57,5.57
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C@H1][Branch1][C][C][N][C],3.52,3.52
[C][=Branch2][Ring1][#Branch2][=N][C][=C][Branch1][N][N][C][=C][Ring1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][=N][Cl][N][C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C],5.45,5.45
[C][=C][Branch2][Ring1][=Branch2][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][N][C][C],4.64,4.64
[O][C][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][C][Branch1][C][O][C][N][C][Branch1][C][C][Branch1][C][C][C],3.19,3.19
[C][C][N][C][C][C][C][Ring1][Branch1][C][N][C][=Branch1][C][=O][C][=C][C][=Branch1][O][=C][Branch1][#Branch1][C][=C][Ring1][=Branch1][O][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][C],4.33,4.33
[C][C][N][Branch1][O][C][C][=C][Ring1][=Branch1][S][C][=C][Ring1][Branch1][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][C][=Branch1][C][=O][O],4.7,4.7
[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][C][=Branch1][S][=C][Branch1][=Branch2][O][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][C][C][C][C][C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][C][C][N][Branch1][Branch1][C][C][C][C][C][C][C][C][=O],8.15,8.15
[C][Branch1][=N][C@H1][C][N][C][C][S][C][Ring1][Branch1][=N][Ring1][Branch2][=C][C][=C][C][=C][Ring1][=C],4.34,4.34
[C][C][Branch2][Ring1][#Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#C][C][N][Branch1][C][C][C],5.2,5.2
[F][C][=C][C][=Branch1][#Branch2][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][C][C@@H1][Branch1][C][N][C][C][=Branch1][C][=O][N][C][C][=N][N][=C][Branch1][Branch2][N][Ring1][Branch1][C][C][Ring1][=Branch2][C][Branch1][C][F][Branch1][C][F][F],4.75,4.75
[F][C][Branch1][C][F][Branch2][Branch1][Ring1][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][Branch1][C][O][=O],6.14,6.14
[F][C][Branch1][C][F][Branch2][Branch1][Ring1][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][Branch1][C][O][=O],6.14,6.14
[F][C][Branch1][C][F][Branch2][Branch1][Ring1][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][#Branch1][C][C][Branch1][C][O][=O][C][C],6.29,6.29
[O][=P][Branch1][C][O][Branch2][Ring2][#C][O][C][C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F][O],5.21,5.21
[O][=P][Branch1][C][O][Branch2][Branch1][=N][O][C][C][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][F][O],5.88,5.88
[Cl][C][=C][C][=C][Branch2][Ring2][Ring1][O][C][=C][C][=C][Branch1][Branch2][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Branch1][#Branch2][O][C][C][Branch1][Ring2][O][Ring1][Branch1][C][C][N][N][=C][N][=C][Ring1][Branch1][C][=C][Ring2][Ring1][#Branch2],5.19,5.19
[O][=C][Branch1][#C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][N][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][C][C][Branch1][C][C][Branch1][C][C][C],5.87,5.87
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][N][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][Branch1][C][C][C],5.55,5.55
[O][=C][Branch2][Ring1][Ring2][O][C][=C][C][=Branch1][=N][=C][Branch1][Ring1][S][C][C][=Branch1][Ring2][=C][Ring1][Branch2][C][C][N][C],3.88,3.88
[C][=C][C][=C][Branch2][Ring1][C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl][N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1][Cl],5.92,5.92
[O][=C][Branch1][C][O][C][=C][Branch1][N][N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O][C][/C][=N][/C][Branch1][Branch2][C][=Branch1][C][=O][N][Ring1][=Branch1][Branch1][=Branch1][C][Branch1][C][C][C][C],3.92,3.92
[O][=C][Branch1][Ring2][O][C][C][N][C][C][O][C][=C][C][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][=N],4.72,4.72
[O][=C][Branch1][Branch1][N][C][C][#N][C][=C][N][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],3.4,3.4
[N][Branch1][=Branch2][C][Branch1][Branch1][O][C][C][C][=O][C][C][C][N][Branch1][C][C][C],3.28,3.28
[Cl][C][=C][Branch1][Branch2][O][C][C][Branch1][C][O][=O][N][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=N],4.01,4.01
[O][=C][N][Branch1][O][/N][=C][/C][=C][C][=C][N][=C][Ring1][=Branch1][C][\C][=Branch1][Branch1][=N][/N][Ring1][=C][C],3.24,3.24
[O][=C][\C][=C][Branch1][P][/N][C][=Branch1][C][=O][N][Ring1][#Branch1][C][C][C][C][C][C][Ring1][=Branch1][C][C][C][Ring1][#C],3.56,3.56
[Cl][C][=C][Branch1][=C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C][N][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][P],5.71,5.71
[Cl][C][=C][Branch1][N][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][N][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][#C],5.47,5.47
[O][=C][Branch2][Ring1][#Branch1][O][C][=C][C][=Branch1][S][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][S][=Branch1][C][=O][C][C][N][C],2.8,2.8
[Cl][C][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=Branch1][Ring2][=N][\C][#N][\S][C][C][Ring1][Branch2],3.88,3.88
[Cl][C][=N][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][C][=Branch1][#Branch1][=N][/C][=Branch1][C][=O][N][/S][C][C][Ring1][=Branch2],3.44,3.44
[Cl][C][=N][C][=C][Branch1][#Branch2][C][N][C][C][N][C][Ring1][Branch1][=O][C][=C][Ring1][=N],3.12,3.12
